Date,Mkt_Ret_60d,Mkt_Vol_20d
2008-02-29,-0.08904189869091617,0.011423364193693062
2008-03-03,-0.08302460502756193,0.010670046076388032
2008-03-04,-0.10156693573556697,0.010394929844927719
2008-03-05,-0.10865031714051876,0.008693181000785234
2008-03-06,-0.12692631160103474,0.009704891974705069
2008-03-07,-0.14256722554515422,0.009770013358208424
2008-03-10,-0.1300157594859983,0.010059989438083118
2008-03-11,-0.10755979490183198,0.01309354056546494
2008-03-12,-0.1140673787578157,0.013035334699485101
2008-03-13,-0.10070847056908949,0.012783773723525895
2008-03-14,-0.1018274055755296,0.013064569695445106
2008-03-17,-0.11584196960432047,0.01317954545590625
2008-03-18,-0.07911131141503269,0.01644413221978721
2008-03-19,-0.10755020777151791,0.01727838574650756
2008-03-20,-0.10393654153038079,0.017793448660155996
2008-03-24,-0.09276356157494148,0.01833129267566482
2008-03-25,-0.09383068739416978,0.01809556511898145
2008-03-26,-0.09352297532055243,0.018173701178916774
2008-03-27,-0.09411201526293278,0.01817700337866669
2008-03-28,-0.09608727412006912,0.01817227697207869
2008-03-31,-0.08491416122382345,0.01753046323753573
2008-04-01,-0.052282772948078704,0.01922427145582435
2008-04-02,-0.027834444773856992,0.019184186907223805
2008-04-03,-0.02458765507599725,0.019155794305549867
2008-04-04,-0.009663182670378911,0.018442761203007575
2008-04-07,-0.019462229934461783,0.0182020465028378
2008-04-08,-0.026842516407957873,0.01782783624134345
2008-04-09,-0.02602594718665241,0.016268986635182822
2008-04-10,-0.03246438460031309,0.016065282922610218
2008-04-11,-0.029888421197928894,0.01677028602315536
2008-04-14,-0.02476229901064675,0.016355429197442505
2008-04-15,0.003519497938728078,0.01612009899230874
2008-04-16,0.041401391309427105,0.014510290203402073
2008-04-17,0.053614787889418425,0.01312676278493511
2008-04-18,0.03963514468880591,0.01273727205628548
2008-04-21,0.03145364604336032,0.012051553048251793
2008-04-22,0.04196375442578337,0.012122965304885124
2008-04-23,0.023379000599701882,0.011729264635250463
2008-04-24,0.022771047661515498,0.011684672366321872
2008-04-25,0.039886829875756646,0.011450428685684409
2008-04-28,0.021483795707398112,0.011467210756415222
2008-04-29,0.0013510377624939007,0.008666497928466643
2008-04-30,0.00815871828015502,0.008800279979084995
2008-05-01,0.0573220119417317,0.009879847983546925
2008-05-02,0.06885061270027837,0.009863890112493404
2008-05-05,0.056724894369690304,0.0099688996877584
2008-05-06,0.07276794607609838,0.01007760089738894
2008-05-07,0.04830494398805074,0.010832617271511984
2008-05-08,0.03599534030582574,0.010869059594450779
2008-05-09,0.02359491858248286,0.009770976101064253
2008-05-12,0.044280349145679354,0.009887385430164474
2008-05-13,0.044660483976768806,0.009905005307588102
2008-05-14,0.043882229210230994,0.008071607116344177
2008-05-15,0.05382285765888484,0.008441943838862839
2008-05-16,0.06362730127969662,0.008206250622358722
2008-05-19,0.060007400639346065,0.00820687511094026
2008-05-20,0.03832013719473881,0.008390078562215141
2008-05-21,0.013157907909121969,0.009329085417731928
2008-05-22,0.014329908334899555,0.009289181578618499
2008-05-23,0.010604740652562006,0.009539691826540535
2008-05-27,0.04129764245961298,0.009708756378035845
2008-05-28,0.04861137492956713,0.00972859013629754
2008-05-29,0.05792220252954028,0.009679276434365263
2008-05-30,0.0539101725350668,0.008479904080845205
2008-06-02,0.06506686555040075,0.008737467156618457
2008-06-03,0.06987593507052936,0.008764622046449599
2008-06-04,0.08361903368230017,0.0084704423226277
2008-06-05,0.0669455320576815,0.008827570351076982
2008-06-06,0.04266680358172392,0.011417261827391252
2008-06-09,0.04288901856016869,0.011439945343279193
2008-06-10,0.05403120078944057,0.011114948005225892
2008-06-11,0.04912737217933438,0.011484333829868971
2008-06-12,0.01111724789211932,0.011525877869387769
2008-06-13,0.04990801394662592,0.011535439183694533
2008-06-16,0.031420262893231854,0.011531019764392138
